,open_2,low_2,high_2,close_2,volume_2
2005-04-02,190.3,188.95,192.39,191.57,46257.0
2005-04-03,190.3,188.95,192.39,191.57,46257.0
2005-04-04,191.57,191.38,192.66,192.22,45311.0
2005-04-05,192.22,191.2,193.13,191.46,42200.0
2005-04-06,191.46,190.95,192.36,191.09,43518.0
2005-04-07,191.09,189.99,191.63,191.48,48202.0
2005-04-08,191.48,189.01,192.14,190.1,42925.0
2005-04-09,191.48,189.01,192.14,190.1,42925.0
2005-04-10,191.48,189.01,192.14,190.1,42925.0
2005-04-11,190.1,188.72,190.4,189.18,40492.0
2005-04-12,189.18,188.69,191.22,190.12,48799.0
2005-04-13,190.12,189.56,191.48,190.69,45729.0
2005-04-14,190.69,190.61,193.4,192.4,49957.0
2005-04-15,192.41,189.94,193.28,191.43,48548.0
2005-04-16,192.41,189.94,193.28,191.43,48548.0
2005-04-17,192.41,189.94,193.28,191.43,48548.0
2005-04-18,191.43,189.4,192.1,190.36,49366.0
2005-04-19,190.36,190.05,192.55,190.39,48476.0
2005-04-20,190.39,188.49,191.22,188.76,48533.0
2005-04-21,188.76,188.68,190.68,190.43,49409.0
2005-04-22,190.43,189.59,191.9,191.16,45068.0
2005-04-23,190.43,189.59,191.9,191.16,45068.0
2005-04-24,190.43,189.59,191.9,191.16,45068.0
2005-04-25,191.16,190.66,192.98,191.14,44368.0
2005-04-26,191.14,191.07,192.4,191.38,44054.0
2005-04-27,191.38,191.35,193.61,192.73,46639.0
2005-04-28,192.73,192.44,195.69,195.03,48149.0
2005-04-29,195.03,194.04,196.41,195.13,52126.0
2005-04-30,195.03,194.04,196.41,195.13,52126.0
2005-05-01,195.03,194.04,196.41,195.13,52126.0
2005-05-02,195.13,195.01,196.38,195.57,18571.0
2005-05-03,195.57,193.52,196.09,193.61,43420.0
2005-05-04,193.61,192.54,193.88,192.94,44057.0
2005-05-05,192.94,191.62,193.17,193.02,44608.0
2005-05-06,193.02,192.25,194.89,194.55,40298.0
2005-05-07,193.02,192.25,194.89,194.55,40298.0
2005-05-08,193.02,192.25,194.89,194.55,40298.0
2005-05-09,194.55,193.79,194.94,194.14,42822.0
2005-05-10,194.14,194.11,195.86,194.76,40945.0
2005-05-11,194.76,193.93,195.96,194.69,43108.0
2005-05-12,194.69,194.65,197.44,197.06,41840.0
2005-05-13,197.07,197.01,198.85,198.06,36985.0
2005-05-14,197.07,197.01,198.85,198.06,36985.0
2005-05-15,197.07,197.01,198.85,198.06,36985.0
2005-05-16,198.06,197.89,200.57,199.38,42291.0
2005-05-17,199.38,199.04,200.61,199.94,47199.0
2005-05-18,199.94,197.33,200.5,197.6,43569.0
2005-05-19,197.6,197.47,199.28,198.15,33479.0
2005-05-20,198.15,197.99,200.98,199.5,37470.0
2005-05-21,198.15,197.99,200.98,199.5,37470.0
2005-05-22,198.15,197.99,200.98,199.5,37470.0
2005-05-23,199.49,199.44,201.78,200.62,42176.0
2005-05-24,200.62,200.24,202.3,201.84,46707.0
2005-05-25,201.84,201.32,203.16,201.65,44950.0
2005-05-26,201.65,200.85,203.29,202.09,47703.0
2005-05-27,202.09,200.2,202.95,201.09,40493.0
2005-05-28,202.09,200.2,202.95,201.09,40493.0
2005-05-29,202.09,200.2,202.95,201.09,40493.0
2005-05-30,201.09,201.07,204.75,203.78,31805.0
2005-05-31,203.78,203.55,206.42,205.93,51784.0
2005-06-01,205.93,205.64,207.89,206.98,48293.0
2005-06-02,206.98,203.51,207.44,203.74,53232.0
2005-06-03,203.74,202.39,205.04,202.45,37676.0
2005-06-04,203.74,202.39,205.04,202.45,37676.0
2005-06-05,203.74,202.39,205.04,202.45,37676.0
2005-06-06,202.45,202.15,203.67,202.95,43940.0
2005-06-07,202.97,202.02,203.83,202.49,43850.0
2005-06-08,202.49,202.09,204.36,203.84,49995.0
2005-06-09,203.84,203.62,205.34,203.86,49946.0
2005-06-10,203.86,203.81,205.98,205.13,50611.0
2005-06-11,203.86,203.81,205.98,205.13,50611.0
2005-06-12,203.86,203.81,205.98,205.13,50611.0
2005-06-13,205.13,204.82,207.55,205.64,52664.0
2005-06-14,205.64,204.05,206.79,205.96,52003.0
2005-06-15,205.96,204.59,206.73,205.65,53512.0
2005-06-16,205.65,203.7,205.96,204.09,53711.0
2005-06-17,204.09,200.16,204.34,201.51,54689.0
